"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit"
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7Y75","Launched",2016,14,393,2,4,1.3,3.6,4,4,4.5,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,1050,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","3840x2160@60Hz","3840x2160@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"8th Generation Intel® Core™ i5 Processors","Mobile","i5-8250U","Launched",2017,14,297,4,8,1.6,3.4,6,4,15,FALSE,TRUE,32,"DDR4-2400, LPDDR3-2133",2,34.1,FALSE,300,1100,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"8th Generation Intel® Core™ i7 Processors","Mobile","i7-8550U","Launched",2017,14,409,4,8,1.8,4,8,4,15,FALSE,TRUE,32,"DDR4-2400, LPDDR3-2133",2,34.1,FALSE,300,1150,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"Intel® Core™ X-series Processors","Desktop","i7-3820","End of Life",2012,32,305,4,8,3.6,3.8,10,2,130,FALSE,TRUE,64.23,"DDR3 1066/1333/1600",4,51.2,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,40,66.8,TRUE,"Yes",TRUE,"64-bit","SSE4.2, AVX, AES",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7Y57","Launched",2017,14,281,2,4,1.2,3.3,4,4,4.5,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,950,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","3840x2160@60Hz","3840x2160@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3205U","Launched",2015,14,107,2,2,1.5,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600 LPDDR3 1333/1600",2,25.6,FALSE,100,800,8,"eDP/DP/HDMI",NA,NA,NA,TRUE,"2","4x1 2x4",12,105,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2805","Launched",2013,22,303,2,2,1.46,3.3,1,4,4.3,FALSE,TRUE,4,"DDR3L 1066",1,25.6,FALSE,313,667,8,NA,NA,NA,NA,FALSE,"2","1x4",4,80,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J1750","Launched",2013,22,303,2,2,2.41,3.3,1,4,10,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,688,750,8,NA,NA,NA,NA,FALSE,"2","X4, X2, X1",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G1610","Launched",2013,22,42,2,2,2.6,3.3,2,2,55,FALSE,TRUE,32,"DDR3 1333",2,21,TRUE,650,1050,8,NA,NA,NA,NA,FALSE,"2","up to 1x16, 2x8, 1x8 & 2x4",16,83,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,FALSE,TRUE
"Legacy Intel® Pentium® Processor","Mobile","518","End of Interactive Support",2013,90,303,1,4,2.8,3.3,1,4.264,88,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
