"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7Y75","Launched","14 nm",393,2,4,1.3,3.6,4,"4 GT/s OPI",4.5,"No","Yes","16 GB","LPDDR3-1866, DDR3L-1600",2,"29.8 GB/s","No",NA,"300 MHz","1.05 GHz","16 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","3840x2160@60Hz","3840x2160@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2016,196.5,98.25
"8th Generation Intel® Core™ i5 Processors","Mobile","i5-8250U","Launched","14 nm",297,4,8,1.6,3.4,6,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2400, LPDDR3-2133",2,"34.1 GB/s","No",NA,"300 MHz","1.10 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,74.25,37.125
"8th Generation Intel® Core™ i7 Processors","Mobile","i7-8550U","Launched","14 nm",409,4,8,1.8,4,8,"4 GT/s OPI",15,"No","Yes","32 GB","DDR4-2400, LPDDR3-2133",2,"34.1 GB/s","No",NA,"300 MHz","1.15 GHz","32 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,102.25,51.125
"Intel® Core™ X-series Processors","Desktop","i7-3820","End of Life","32 nm",305,4,8,3.6,3.8,10,"5 GT/s DMI2",130,"No","","64.23 GB","DDR3 1066/1333/1600",4,"51.2 GB/s","No",NA,"","","","",NA,"","","","",NA,"2","",40,"66.8°C","Yes","Yes","Yes","64-bit","SSE4.2, AVX, AES","Yes","Yes","","Yes",2012,76.25,38.125
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7Y57","Launched","14 nm",281,2,4,1.2,3.3,4,"4 GT/s OPI",4.5,"No","Yes","16 GB","LPDDR3-1866, DDR3L-1600",2,"29.8 GB/s","No",NA,"300 MHz","950 MHz","16 GB","eDP/DP/HDMI/DVI",NA,"4096x2304@24Hz","3840x2160@60Hz","3840x2160@60Hz","12",NA,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,"100°C","Yes","Yes","Yes","64-bit","SSE4.1/4.2, AVX 2.0","Yes","Yes","Yes","Yes",2017,140.5,70.25
"Intel® Celeron® Processor 3000 Series","Mobile","3205U","Launched","14 nm",107,2,2,1.5,3.3,2,"5 GT/s DMI2",15,"No","Yes","16 GB","DDR3L 1333/1600 LPDDR3 1333/1600",2,"25.6 GB/s","",NA,"100 MHz","800 MHz","","eDP/DP/HDMI",NA,"","","","11.2/12",NA,"2","4x1 2x4",12,"105°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","Yes","Yes",2015,53.5,53.5
"Intel® Celeron® Processor N Series","Mobile","N2805","Launched","22 nm",303,2,2,1.46,3.3,1,"",4.3,"No","Yes","4 GB","DDR3L 1066",1,"","",NA,"313 MHz","667 MHz","","",NA,"","","","",NA,"2","1x4",4,"80°C ","No","Yes","Yes","64-bit","","Yes","","","Yes",2013,151.5,151.5
"Intel® Celeron® Processor J Series","Desktop","J1750","Launched","22 nm",303,2,2,2.41,3.3,1,"",10,"No","Yes","8 GB","DDR3L 1333",2,"","No",NA,"688 MHz","750 MHz","","",NA,"","","","",NA,"2","X4, X2, X1",4,"100°C ","No","Yes","Yes","64-bit","","","","","Yes",2013,151.5,151.5
"Intel® Celeron® Processor G Series","Desktop","G1610","Launched","22 nm",42,2,2,2.6,3.3,2,"5 GT/s DMI",55,"No","Yes","32 GB","DDR3 1333",2,"21 GB/s","Yes",NA,"650 MHz","1.05 GHz","","",NA,"","","","",NA,"2","up to 1x16, 2x8, 1x8 & 2x4",NA,"","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","No","Yes",2013,21,21
"Legacy Intel® Pentium® Processor","Mobile","518","End of Interactive Support","90 nm",303,1,4,2.8,3.3,1,"533 MHz FSB",88,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"75°C","Yes","No","No","32-bit","","No","","","No",2013,303,75.75
"Intel® Pentium® Processor 2000 Series","Mobile","2020M","Launched","22 nm",134,2,2,2.4,3.3,2,"5 GT/s DMI",35,"No","Yes","32 GB","DDR3/L/-RS 1333/1600",2,"25.6 GB/s","No",NA,"650 MHz","1.10 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",1,"90 C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2012,67,67
